nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Tahu Walik Ala Masako®,219.622222222222,13.6244444444444,16.3577777777778,13.68,1.64222222222222,https://www.dapurumami.com/resep/tahu-walik-ala-masako
Perkedel Keju Ala Masako®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/perkedel-keju-ala-masako
Telur Kukus Jamur Ala Masako®,154.3,13,5,9,0.7,https://www.dapurumami.com/resep/telur-kukus-jamur-ala-masako
Bubur Ayam Oatmeal Ala Masako®,707,90,32,23,3,https://www.dapurumami.com/resep/bubur-ayam-oatmeal-ala-masako
Sup Bakso Tahu Ala Masako®,277.6,20.2,12,17.2,2,https://www.dapurumami.com/resep/sup-bakso-tahu-ala-masako
Oseng Buncis Telur Puyuh Ala Masako®,147.5,7.5,5.8,11,2,https://www.dapurumami.com/resep/oseng-buncis-telur-puyuh-ala-masako
Tumis Brokoli Jagung Ala Masako®,183,7.8,15,11.6,2.6,https://www.dapurumami.com/resep/tumis-brokoli-jagung-ala-masako
Sup Udang Ala Masako®,106.5,13.8,5.3,3.5,1,https://www.dapurumami.com/resep/sup-udang-ala-masako
Ayam Cordon Bleu ala Sajiku®,454,35.5,31.5,20,1.5,https://www.dapurumami.com/resep/ayam-cordon-bleu-ala-sajiku
Nasi Goreng Kecombrang Sajiku®,180.5,11,12.5,11.5,4,https://www.dapurumami.com/resep/nasi-goreng-kecombrang-sajiku
Soto Kambing Goreng ala AJI-NO-MOTO®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/soto-kambing-goreng-ala-aji-no-moto
Ayam Crispy Saus Madu Sajiku®,333.761538461539,18.705325443787,19.2544378698225,22.5461538461539,1.88343195266272,https://www.dapurumami.com/resep/ayam-crispy-saus-madu-sajiku
Semur Daging Teriyaki ala,111,9,4,7,0,https://www.dapurumami.com/resep/semur-daging-teriyaki-ala-saori
Roti Buah Lembut ala Mayumi®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/roti-buah-lembut-ala-mayumi
Gadon Daging Sapi ala AJI-NO-MOTO®,12,1,0.1,0.7,0,https://www.dapurumami.com/resep/gadon-daging-sapi-ala-aji-no-moto
Cah Brokoli Wortel Jamur ala AJI-NO-MOTO®,44,1,5,2,2,https://www.dapurumami.com/resep/cah-brokoli-wortel-jamur-ala-aji-no-moto
Garang Asem Ayam ala AJI-NO-MOTO®,24.5,3.5,0.2,0.8,0.2,https://www.dapurumami.com/resep/garang-asem-ayam-ala-aji-no-moto
Tumis Labu Siam Wortel ala AJI-NO-MOTO®,6.8,0.2,0.3,0.5,0.2,https://www.dapurumami.com/resep/tumis-labu-siam-wortel-ala-aji-no-moto
Ikan Dori Bumbu Kuning ala AJI-NO-MOTO®,17.7,2,0.5,0.7,0,https://www.dapurumami.com/resep/ikan-dori-bumbu-kuning-ala-aji-no-moto
Sayur Kacang Panjang dan Toge ala AJI-NO-MOTO®,11.5,0.7,0.5,0.8,0.2,https://www.dapurumami.com/resep/sayur-kacang-panjang-dan-toge-ala-aji-no-moto
Cah Jamur Bayam  ala AJI-NO-MOTO®,9.3,0.3,0.8,0.5,0.3,https://www.dapurumami.com/resep/cah-jamur-bayam-ala-aji-no-moto
Tumis Ayam Suwir ala AJI-NO-MOTO®,125,15.5,0,6.5,0,https://www.dapurumami.com/resep/tumis-ayam-suwir-ala-aji-no-moto
Urap Sayur ala AJI-NO-MOTO®,5.4,0.1,0.4,0.3,0.1,https://www.dapurumami.com/resep/urap-sayur-ala-aji-no-moto
Kembung Bakar Bumbu Kunyit ala AJI-NO-MOTO®,112,15,3,4.6,0.4,https://www.dapurumami.com/resep/kembung-bakar-bumbu-kunyit-ala-aji-no-moto
Nasi Goreng Jawa ala Sajiku®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/nasi-goreng-jawa-ala-sajiku
Tahu Tek Surabaya ala Sajiku®,219.622222222222,13.6244444444444,16.3577777777778,13.68,1.64222222222222,https://www.dapurumami.com/resep/tahu-tek-surabaya-ala-sajiku
Crispy Tempe Sambal Matah ala Sajiku®,161.632,7.54,8.5,11.276,0.94,https://www.dapurumami.com/resep/crispy-tempe-sambal-matah-ala-sajiku
Ikan Panggang Bumbu Ketumbar ala AJI-NO-MOTO®,154.5,14,10.5,6.5,0,https://www.dapurumami.com/resep/ikan-panggang-bumbu-ketumbar
Sate Sosis Tempe Brokoli ala,132.5,6.5,7,9,1,https://www.dapurumami.com/resep/sate-sosis-tempe-brokoli-ala-saori
Spaghetti Creamy Mayo Pedas ala Mayumi®,283.5,14.5,22,15.5,0,https://www.dapurumami.com/resep/spaghetti-creamy-mayo-pedas-ala-mayumi
Nasi Goreng Daging Sayur Sajiku®,362.5,10.5,43.5,16,1,https://www.dapurumami.com/resep/nasi-goreng-daging-sayur-sajiku
Ayam Bakar Salsa Jagung,375,23.3,21.5,22.8,1.5,https://www.dapurumami.com/resep/ayam-bakar-salsa-jagung
Tumis Ayam Sayur ala Masako®,192,9.5,4,15,1.5,https://www.dapurumami.com/resep/tumis-ayam-sayur-ala-masako
Pokcoy Jamur Telur Masako®,64.3,2.3,6.3,4.3,1.7,https://www.dapurumami.com/resep/pokcoy-jamur-telur-masako
Mango Smoothies Healthy ala Mayumi®,125,2,23.5,2.5,3.5,https://www.dapurumami.com/resep/mango-smoothies-healthy-ala-mayumi
Ramen Soto ala AJI-NO-MOTO®,603.5,19,53,36,2,https://www.dapurumami.com/resep/ramen-soto-ala-aji-no-moto
Nasi Udang Meksiko ala Saori®,683.5,70.5,77.5,10.5,13.5,https://www.dapurumami.com/resep/nasi-udang-meksiko-ala-saori
Kebab Maranggi ala Saori®,148,7,13,8,1,https://www.dapurumami.com/resep/kebab-maranggi-ala-saori
Nugget Tahu-Tempe Ala Sajiku®,186.8,5.3,7.8,15.5,0.3,https://www.dapurumami.com/resep/nugget-tahu-tempe-ala-sajiku
Bakso Sayur Umami,45.8,2.5,5.3,1.5,0.3,https://www.dapurumami.com/resep/bakso-sayur-umami
Stik Tempe Crispy Saus Madu ala Sajiku®,257.3,2.7,2.3,24.7,0,https://www.dapurumami.com/resep/stik-tempe-crispy-saus-madu-ala-sajiku
Chicken Wings Mix Veggies ala Masako®,97,4,11,4.7,1,https://www.dapurumami.com/resep/chicken-wings-mix-veggies-ala-masako
Grilled Salmon with Oregano,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/grilled-salmon-with-oregano
Nasi Goreng Anak Sehat ala Sajiku®,330.5,8.5,47.5,11.5,2,https://www.dapurumami.com/resep/nasi-goreng-anak-sehat-ala-sajiku
Steak Daging Saus Jamur ala AJI-NO-MOTO®,390.5,21,32.5,21.5,1.5,https://www.dapurumami.com/resep/steak-daging-saus-jamur-ala-aji-no-moto
Fish and Chips with Salad ala Mayumi®,1229,44.5,155,35,15,https://www.dapurumami.com/resep/fish-and-chips-with-salad
Salad Udang Crispy ala Mayumi®,56,6.8,4,0.8,1,https://www.dapurumami.com/resep/salad-udang-crispy-ala-mayumi
Chicken Steak Blackpepper,428,18.5,3.5,38.5,0.5,https://www.dapurumami.com/resep/chicken-steak-blackpepper-saori
Sup Makaroni Sayur ala Masako®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/sup-makaroni-sayur-ala-masako
Ikan Kuah Kuning ala Masako®,240.18,18.9085714285714,14.7514285714286,11.5628571428571,0.394285714285714,https://www.dapurumami.com/resep/ikan-kuah-kuning-ala-masako
Kakap Panggang Saus Gulai ala Masako®,302,27.5,10,17,1,https://www.dapurumami.com/resep/kakap-panggang-saus-gulai-ala-masako
Tahu Tek Surabaya AJI-NO-MOTO®,614.5,27.5,59.5,33.5,15,https://www.dapurumami.com/resep/tahu-tek-surabaya-aji-no-moto
Bakso Goreng Crispy ala Sajiku®,91.3,7.7,1.7,6,0.3,https://www.dapurumami.com/resep/bakso-goreng-crispy-ala-sajiku
Steam Bandeng ala,181,20.5,3,10,0.5,https://www.dapurumami.com/resep/steam-bandeng-ala-saori
Mie Goreng Imlek ala Masako®,150.7,7.7,5,10.3,0.3,https://www.dapurumami.com/resep/mie-goreng-imlek-ala-masako
Cheesy Berry Dessert Box ala Mayumi®,1073,30,110,56,9,https://www.dapurumami.com/resep/cheesy-berry-dessert-box-ala-mayumi
Teriyaki Sauteed Duck ala Saori®,309.5,11,13,23,0.5,https://www.dapurumami.com/resep/teriyaki-sauteed-duck-ala-saori
Pepes Tahu ala Masako®,722.5,45.5,19.5,55,5,https://www.dapurumami.com/resep/pepes-tahu-ala-masako
Seblak  ala Masako®,195.3,9.8,17,9.5,1.3,https://www.dapurumami.com/resep/seblak-ala-masako
Perkedel Jagung ala Masako®,145.5,6.6,24.9,2,0.6,https://www.dapurumami.com/resep/perkedel-jagung-ala-masako
Soto Mie Bogor ala Masako®,824.5,38,88.5,35,5.5,https://www.dapurumami.com/resep/soto-mie-bogor-ala-masako
Bubur Ayam ala Masako®,43.2,2.5,4.4,1.7,0.1,https://www.dapurumami.com/resep/bubur-ayam-ala-masako
Tauge Goreng ala Masako®,698,16.4,126.2,17.6,126.2,https://www.dapurumami.com/resep/tauge-goreng-ala-masako
Geco ala Masako®,503,16.5,70.3,19.3,3.5,https://www.dapurumami.com/resep/geco-ala-masako
Sayur Jangan Lombok khas Solo ala Masako®,636.5,31.5,31,47.8,6.5,https://www.dapurumami.com/resep/sayur-jangan-lombok-khas-solo-ala-masako
Opor Ayam Khas Solo ala Masako®,318.1,4.6,12.1,28.7,0.2,https://www.dapurumami.com/resep/opor-ayam-khas-solo-ala-masako
Soto Ayam Jember ala Masako®,423.3,18.5,49.2,18,2,https://www.dapurumami.com/resep/soto-ayam-jember-ala-masako
Pecel Pincuk ala Masako®,515.5,20.5,48.8,30,5.5,https://www.dapurumami.com/resep/pecel-pincuk-ala-masako
Ayam Bakar Kelapa Serai Sajiku®,333.761538461539,18.705325443787,19.2544378698225,22.5461538461539,1.88343195266272,https://www.dapurumami.com/resep/ayam-bakar-kelapa-serai-sajiku
Rawon Nguling ala Masako®,400.8,17.5,6.5,33.5,1.3,https://www.dapurumami.com/resep/rawon-nguling-ala-masako
Soto Kraksaan ala Masako®,413.8,19,7.5,34,1.5,https://www.dapurumami.com/resep/soto-kraksaan-ala-masako
Lapis Daging ala Masako®,275.8,12.7,5,22.7,1,https://www.dapurumami.com/resep/lapis-daging-ala-masako
Pecel Madiun ala Masako®,315,13,29,18.5,4,https://www.dapurumami.com/resep/pecel-madiun-ala-masako
Lento ala Masako®,130.4,3.6,4.2,11.4,0.3,https://www.dapurumami.com/resep/lento-ala-masako
Opor Tahu Telur ala Masako®,232.5,13.3,9,16.5,1.5,https://www.dapurumami.com/resep/opor-tahu-telur-ala-masako
Tahu Telur ala Masako®,203,14.3,9.7,13.2,1.5,https://www.dapurumami.com/resep/tahu-telur-ala-masako
Bakwan Krispi Spesial ala Sajiku®,54.9,0.9,3.4,4.1,0.1,https://www.dapurumami.com/resep/bakwan-krispi-spesial-ala-sajiku
Sate Ayam Asam Manis,75,3.4,2.7,6,0.9,https://www.dapurumami.com/resep/sate-ayam-asam-manis
Spaghetti Aglio Olio ala AJI-NO-MOTO®,382.5,12,25,27,4,https://www.dapurumami.com/resep/spaghetti-aglio-olio-ala-aji-no-moto
Fettucini Aglio Olio ala AJI-NO-MOTO®,611.5,18,79.5,25,4.5,https://www.dapurumami.com/resep/fettucini-aglio-olio-ala-aji-no-moto
Penne Aglio Olio ala Masako®,520,18,55,27,3.5,https://www.dapurumami.com/resep/penne-aglio-olio-ala-masako
Makaroni Panggang Bolognese ala AJI-NO-MOTO®,708.5,24.5,61,41.5,5,https://www.dapurumami.com/resep/makaroni-panggang-bolognese-ala-aji-no-moto
Makaroni Aglio Olio ala Masako®,587.5,16,69,29,5.5,https://www.dapurumami.com/resep/makaroni-aglio-olio-ala-masako
Penne Bolognese ala AJI-NO-MOTO®,623.5,23,58.5,33.5,4.5,https://www.dapurumami.com/resep/penne-bolognese-ala-aji-no-moto
Pizza Bolognese ala AJI-NO-MOTO®,286.5,9,27.5,16.5,2.5,https://www.dapurumami.com/resep/pizza-bolognese-ala-aji-no-moto
Spaghetti Bolognese ala AJI-NO-MOTO®,897,33,58,63,9,https://www.dapurumami.com/resep/spaghetti-bolognese-ala-aji-no-moto
Makaroni Mangkok ala AJI-NO-MOTO®,168.1,5.3,18.8,8.3,1.4,https://www.dapurumami.com/resep/makaroni-mangkok-ala-aji-no-moto
Lasagna Kukus ala AJI-NO-MOTO®,654,38,42.5,37.5,3,https://www.dapurumami.com/resep/lasagna-kukus-ala-aji-no-moto
Mie Telur Bolognese ala Masako®,533.5,25.5,63.5,21,4.5,https://www.dapurumami.com/resep/mie-telur-bolognese-ala-masako
Kentang Goreng Bolognese ala Masako®,1908.5,68,166.5,108.5,7,https://www.dapurumami.com/resep/kentang-goreng-bolognese-ala-masako
Kebab Bolognese ala Masako®,432.7,18.7,37,24,4.3,https://www.dapurumami.com/resep/kebab-bolognese-ala-masako
Spaghetti Aglio Olio Sambal Matah ala Masako®,451,17.5,25,31.5,2.5,https://www.dapurumami.com/resep/spaghetti-aglio-olio-sambal-matah-ala-masako
Spaghetti Tongkol Aglio Olio ala AJI-NO-MOTO®,347.5,13,19.5,25,2.5,https://www.dapurumami.com/resep/spaghetti-tongkol-aglio-olio-ala-aji-no-moto
Mie Telur Ayam Aglio Olio ala Masako®,528,18,47.5,30,2,https://www.dapurumami.com/resep/mie-telur-ayam-aglio-olio-ala-masako
Nasi Goreng Hongkong ala Sajiku®,511,22,50.5,26,6.5,https://www.dapurumami.com/resep/nasi-goreng-hongkong-ala-sajiku
Makaroni Tuna Mentai ala Mayumi®,894,25,59,64,2,https://www.dapurumami.com/resep/makaroni-tuna-mentai-ala-mayumi
Brulee Bomb ala Masako®,82.6,4.2,7.8,4,0,https://www.dapurumami.com/resep/brulee-bomb-ala-masako
Bakso Malang ala Masako®,79.2,3.8,7,4,0.4,https://www.dapurumami.com/resep/bakso-malang-ala-masako
Orem-orem ala Masako®,317.8,11.3,18.5,23.8,1.5,https://www.dapurumami.com/resep/orem-orem-ala-masako
Ayam Gongso ala Masako®,17.4,0.8,0.4,1.4,0.1,https://www.dapurumami.com/resep/ayam-gongso-ala-masako
Mie Kopyok ala Masako®,111.2,5.2,21.2,1,1.2,https://www.dapurumami.com/resep/mie-kopyok-ala-masako
Tahu Gimbal ala Masako®,100.6,5.2,8,5.8,0.6,https://www.dapurumami.com/resep/tahu-gimbal-ala-masako
Soto Ayam Madiun ala Masako®,175.3,9.3,9.3,11.3,2.8,https://www.dapurumami.com/resep/soto-ayam-madiun-ala-masako
Nasi Langgi ala Masako®,146,4.8,21.3,5,1,https://www.dapurumami.com/resep/nasi-langgi-ala-masako
Spicy Chicken Wings Umami AJI-NO-MOTO®,149.6,9.6,2.2,11,0.2,https://www.dapurumami.com/resep/spicy-chicken-wings-umami
Tuna Sayur Krispi ala Sajiku®,428.5,8.5,12.5,39,0.5,https://www.dapurumami.com/resep/tuna-sayur-krispi-ala-sajiku
Soto Banjar ala Masako®,504.3,24.3,14.5,39.5,6.3,https://www.dapurumami.com/resep/soto-banjar-ala-masako
Ketupat Kandangan ala Masako®,965,45.8,43,73,5.8,https://www.dapurumami.com/resep/ketupat-kandangan-ala-masako
Soto Daging Santan Kuning  ala Masako®,127.3,8.7,2.3,9.3,0.7,https://www.dapurumami.com/resep/soto-daging-santan-kuning-ala-masako
Ayam Geprek Keju Leleh  ala Sajiku®,292,14.5,13.5,21,1.5,https://www.dapurumami.com/resep/ayam-geprek-keju-leleh-ala-sajiku
Tumis Tofu Brokoli Saus Tiram ala,81.5,4.5,3.5,5.5,1.5,https://www.dapurumami.com/resep/tumis-tofu-brokoli-saus-tiram-ala-saori
Broccoli Bites ala AJI-NO-MOTO®,55.8,3.2,1.4,4.2,0.4,https://www.dapurumami.com/resep/broccoli-bites-ala-aji-no-moto
Ayam Goreng Sambal Terasi ala Sajiku®,50.4,2.6,4,3.2,1,https://www.dapurumami.com/resep/ayam-goreng-sambal-terasi-ala-sajiku
Teriyaki Meatball With Mashed Potato ala,61.8,3.8,4,3.4,0.2,https://www.dapurumami.com/resep/teriyaki-meatball-with-mashed-potato-ala-saori
Empal Gentong ala AJI-NO-MOTO®,262,15.5,6,20.5,2.5,https://www.dapurumami.com/resep/empal-gentong-ala-aji-no-moto
Tumpeng Mini Merdeka ala,225,9.3,30.8,7.3,1.3,https://www.dapurumami.com/resep/tumpeng-mini-merdeka-ala-saori
Bakwan Pepperoni ala Sajiku®,30,1,2.5,1.8,0,https://www.dapurumami.com/resep/bakwan-pepperoni-ala-sajiku
Ikan Kembung Sambal Matah ala Sajiku®,36,3.5,0.6,2.3,0.1,https://www.dapurumami.com/resep/ikan-kembung-sambal-matah-ala-sajiku
Tumis Tiga Jamur ala Masako®,9.6,1.6,0.8,0.6,0.4,https://www.dapurumami.com/resep/resep-tumis-tiga-jamur-ala-masako
Sup Ikan Batam ala AJI-NO-MOTO®,14.2,2.4,0.8,0.2,0.2,https://www.dapurumami.com/resep/sup-ikan-batam-ala-aji-no-moto
Onigiri Tuna Pedas ala Mayumi®,58.6,2.2,8.4,1.6,0.2,https://www.dapurumami.com/resep/onigiri-tuna-pedas-ala-mayumi
Kimchi Hot Fried Rice ala Sajiku®,250,7,31.5,10,1,https://www.dapurumami.com/resep/kimchi-hot-fried-rice-ala-sajiku
Healthy Cajun Chicken ala Masako®,46.3,7.3,1,1.3,0.3,https://www.dapurumami.com/resep/healthy-cajun-chicken-ala-masako
Sup Ayam Buncis ala Masako®,333.761538461539,18.705325443787,19.2544378698225,22.5461538461539,1.88343195266272,https://www.dapurumami.com/resep/sup-ayam-buncis-ala-masako
Ikan Bakar Rica-Rica ala AJI-NO-MOTO®,37.3,3.3,2.5,2,0.8,https://www.dapurumami.com/resep/ikan-bakar-rica-rica-ala-aji-no-moto
Jagung Bakar Pedas Manis ala,49.8,1,9,1.5,0.8,https://www.dapurumami.com/resep/jagung-bakar-pedas-manis-ala-saori
Tumis Sayur Udang ala Masako®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/tumis-sayur-udang-ala-masako
Sup Bayam Wortel ala Masako®,24,0.5,3.3,1,0.3,https://www.dapurumami.com/resep/sup-bayam-wortel-ala-masako
Vegan Gyoza ala,38.6,2,3.5,2,0.1,https://www.dapurumami.com/resep/vegan-gyoza-ala-saori
Sup Bakso ala Masako®,1067,46,19,95,7,https://www.dapurumami.com/resep/sup-bakso-ala-masako
Tumis Ayam Kecap ala Masako®,1229,93,17,88,4,https://www.dapurumami.com/resep/tumis-ayam-kecap-ala-masako
Tempe Mendoan Crispy ala Sajiku®,9.6,0.5,0.9,0.5,0,https://www.dapurumami.com/resep/tempe-mendoan-crispy-ala-sajiku
Chicken Karage Tacos ala Mayumi®,143.5,4.7,8.9,10.1,0.2,https://www.dapurumami.com/resep/chicken-karage-tacos-ala-mayumi
Soup Oyong Soun Wortel ala Sajiku®,23.8,0.9,3.4,0.8,0.5,https://www.dapurumami.com/resep/soup-oyong-soun-wortel-ala-sajiku
Tofu Egg Roll ala AJI-NO-MOTO®,183,9.2,6.8,14.5,1.3,https://www.dapurumami.com/resep/tofu-egg-roll-ala-aji-no-moto
Kulit Ayam Crispy BBQ ala Sajiku®,248,12.2,3.5,16.4,0,https://www.dapurumami.com/resep/kulit-ayam-crispy-bbq-ala-sajiku
Money Bag Wonton ala,30.5,2.2,0.7,2.1,0.1,https://www.dapurumami.com/resep/money-bag-wonton-ala-saori
Mala Oyster Noodle ala,408.9,17.7,12.2,31.8,1.1,https://www.dapurumami.com/resep/mala-oyster-noodle-ala-saori
Ayam Panggang Madu ala AJI-NO-MOTO®,272.8,29.6,11.5,12,0.5,https://www.dapurumami.com/resep/ayam-panggang-madu-ala-aji-no-moto
Ayam Lada Hitam ala Masako®,85.3,10.7,1.7,3.3,0.7,https://www.dapurumami.com/resep/ayam-lada-hitam-ala-masako
Perkedel Tahu ala AJI-NO-MOTO®,11.2,0.8,0.2,0.7,0.2,https://www.dapurumami.com/resep/perkedel-tahu-ala-aji-no-moto
Tumis Pakcoy Jamur Shitake ala,21.8,0.5,2.5,1.3,0.5,https://www.dapurumami.com/resep/tumis-pakcoy-jamur-shitake-ala-saori
Tahu Omelette ala AJI-NO-MOTO®,29,2.7,0.7,1.7,0,https://www.dapurumami.com/resep/tahu-omelette-ala-aji-no-moto
Tumis Buncis Udang ala Masako®,74.5,6.5,6.5,2.5,2,https://www.dapurumami.com/resep/tumis-buncis-udang-ala-masako
Korean Stir Fry Beef ala,43,1.8,1.2,3.2,0.2,https://www.dapurumami.com/resep/beef-bulgogi-ala-saori
Tumis Sawi Putih Daging Ayam ala Masako®,101,13.3,3.8,3.9,1.7,https://www.dapurumami.com/resep/tumis-sawi-putih-daging-ayam-ala-masako
Chicken Nanban ala Sajiku®,319.7,15.4,14.6,21.7,0.8,https://www.dapurumami.com/resep/chicken-nanban-ala-sajiku
Nasi Goreng Kencur Bakso Ikan ala Sajiku®,304.3,10.6,26.3,16.9,0.9,https://www.dapurumami.com/resep/nasi-goreng-kencur-bakso-ikan-ala-sajiku
Sate Tuna ala AJI-NO-MOTO®,31.3,5.3,0.5,0.5,0.3,https://www.dapurumami.com/resep/sate-tuna-ala-aji-no-moto
Rolade Tempe ala AJI-NO-MOTO®,16.2,1.5,1,0.8,0,https://www.dapurumami.com/resep/rolade-tempe-ala-aji-no-moto
Tumis Brokoli Wortel Jamur Champignon ala,71.5,2.5,6.5,4,2.5,https://www.dapurumami.com/resep/tumis-brokoli-wortel-jamur-champignon-ala-saori
Nasi Goreng Gila ala Sajiku®,339.9,13.6,27.1,19,1.8,https://www.dapurumami.com/resep/nasi-goreng-gila-ala-sajiku
Calamari Ring ala AJI-NO-MOTO®,268,23,8.6,15.5,0.1,https://www.dapurumami.com/resep/calamari-ring-ala-aji-no-moto
Salad Buah Mayumi®,326.3,3.7,38.8,15.7,6.2,https://www.dapurumami.com/resep/salad-buah-mayumi
Spicy Negi Sauce Gyoza,151.5,5.1,19.5,4.8,2,https://www.dapurumami.com/resep/spicy-negi-sauce-gyoza
Shoyu Tori Paitan Gyoza,490.6,35,14.5,31.9,2,https://www.dapurumami.com/resep/shoyu-tori-paitan-gyoza-ala-aji-no-moto
Udang Rambutan ala Sajiku®,474.1,27.7,24.2,29.3,0.3,https://www.dapurumami.com/resep/udang-rambutan-ala-sajiku
Kaki Naga ala Sajiku®,151.7,9.7,8,2.3,0.3,https://www.dapurumami.com/resep/kaki-naga-ala-sajiku
Spicy Tangy Rujak Salad ala Mayumi®,322.6,4.9,23.1,22.1,4.9,https://www.dapurumami.com/resep/spicy-tangy-rujak-salad-ala-mayumi
Yaki Ramen Gyoza,693.5,21.2,135.7,7,6.9,https://www.dapurumami.com/resep/yaki-ramen-gyoza-ala-aji-no-moto
Katsu Curry Gyoza,664,28.7,72.1,34.1,6.2,https://www.dapurumami.com/resep/katsu-curry-gyoza-aji-no-moto
Aburage Age Gyoza,215.5,6.8,29.4,7.3,1.8,https://www.dapurumami.com/resep/aburage-age-gyoza-ala-ajinomoto
Toast Telur Udang Mayumi®,405.5,15.6,36.1,20.1,4.3,https://www.dapurumami.com/resep/toast-telur-udang-mayummi
Onion Soup Gyoza,272,14.1,37.9,7.1,3.9,https://www.dapurumami.com/resep/onion-soup-gyoza
Carbonara Gyoza,548.5,15.2,21.3,44.5,2.3,https://www.dapurumami.com/resep/carbonara-gyoza
Cheese Garlic Gyoza,346.5,16.5,15.5,20.5,1.9,https://www.dapurumami.com/resep/cheese-garlic-sauce-gyoza
Lasagna Gyoza,302,17.5,29.5,16.5,5.5,https://www.dapurumami.com/resep/lasagna-gyoza
Gochujang Sauce Gyoza,250.5,8,39.5,6,3,https://www.dapurumami.com/resep/gochujang-sauce-gyoza
Salted Egg Gyoza,831,25.5,146.5,19,3,https://www.dapurumami.com/resep/salted-egg-gyoza
Rice Pepper Salad Gyoza,322,7.5,66,2,3,https://www.dapurumami.com/resep/rice-pepper-salad-gyoza
Sate Taichan Gyoza,224,10,31.5,6,4,https://www.dapurumami.com/resep/sate-taichan-gyoza
Nasi Goreng Gyoza,1527,58,168,67,5,https://www.dapurumami.com/resep/nasi-goreng-gyoza
Sweet Sour Salad Gyoza,260,7.5,45.5,4.5,5,https://www.dapurumami.com/resep/sweet-sour-salad-gyoza
Mie Gyoza,501,25,57,18,4,https://www.dapurumami.com/resep/mie-gyoza
Bakso Tahu Gyoza,563,26,56.5,26,4,https://www.dapurumami.com/resep/bakso-tahu-gyoza
Sosis Solo ala Masako®,788,42.2,62.5,42.5,1.2,https://www.dapurumami.com/resep/sosis-solo-ala-masako
Kimchi Jjigae ala AJI-NO-MOTO®,229.3,11.7,13.9,14.6,1.8,https://www.dapurumami.com/resep/kimchi-jjigae-ala-aji-no-moto
Bubur Sop Ayam Cirebon ala Sajiku®,460,14.8,58.4,19.6,2.1,https://www.dapurumami.com/resep/bubur-sop-ayam-cirebon-ala-sajiku
Beef Bulgogi ala,238.2,11.6,6.1,18.5,0.6,https://www.dapurumami.com/resep/beef-bulgogi-ala-saori-saus-bulgogi
Steak Ayam ala Masako®,550.5,32.2,22.1,36.4,2.5,https://www.dapurumami.com/resep/steak-ayam-ala-masako
Tempe Krispi Lada Hitam,310.9,13.8,30.6,15.6,1.3,https://www.dapurumami.com/resep/tempe-krispi-lada-hitam
Ayam Goreng Tepung Bumbu Ketumbar ala Sajiku®,274.7,13.9,5.7,22.4,1.5,https://www.dapurumami.com/resep/ayam-goreng-tepung-bumbu-ketumbar-ala-sajiku
Paru Goreng Tepung Sambal Ijo ala Sajiku®,238.2,11.6,6.1,18.5,0.6,https://www.dapurumami.com/resep/paru-goreng-tepung-sambal-ijo-ala-sajiku
Sup Ayam Suwir ala Masako®,367.1,28.7,23.1,18.5,4,https://www.dapurumami.com/resep/sup-ayam-suwir-ala-masako
Gimbap ala AJI-NO-MOTO®,238.5,12,25.6,10.5,2.7,https://www.dapurumami.com/resep/gimbap-ala-aji-no-moto
Salad Buah Bola Jelly ala Mayumi®,238.8,0.4,121.2,42.4,1.1,https://www.dapurumami.com/resep/salad-buah-bola-jelly-ala-mayumi
Japchae ala,279.5,3.8,51.7,5.5,2.3,https://www.dapurumami.com/resep/japchae-ala-saori
Nasi Goreng Ayam ala Sajiku®,333.761538461539,18.705325443787,19.2544378698225,22.5461538461539,1.88343195266272,https://www.dapurumami.com/resep/nasi-goreng-ayam-ala-sajiku
Nasi Goreng Super Pedas ala Sajiku®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/nasi-goreng-super-pedas-ala-sajiku
Nasi Tim Ayam Jamur ala AJI-NO-MOTO®,705.3,27.3,102.5,19,1.5,https://www.dapurumami.com/resep/nasi-tim-ayam-jamur-ala-aji-no-moto
Nasi Goreng Spesial ala Sajiku®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/nasi-goreng-spesial-ala-sajiku
Risol Udang Mayo ala Mayumi®,321.7,11.2,34.7,14.8,1.2,https://www.dapurumami.com/resep/risol-udang-mayo-ala-mayumi
Sambal Terasi ala AJINOMOTO® Terasi Udang,240.5,9,5.5,22,2,https://www.dapurumami.com/resep/sambal-terasi-ala-ajinomoto-terasi-udang
